student_id,age,gender,degree,year,attendance_percentage,study_hours_per_day,assignment_score,internal_marks,backlogs,coding_skill,communication_skill,aptitude_score,technical_interview_score,projects_completed,internships_completed,certifications,hackathons_participated,extracurricular_activities,resume_score,mock_interviews,linkedin_profile,cgpa,final_score,performance_category,placement_status
STU100016,20,Female,BTech CSE,3,83.3,1.1,71.1,72.2,1,4.5,8.6,76.6,48.8,0,1,2,0,2,75.5,5,Yes,6.09,61.3,Average,Not Placed
STU100017,23,Male,BSc Data Science,4,83.7,2.7,67.2,48.6,2,4.7,3.6,71.7,62.7,4,1,2,0,2,66.2,0,Yes,6.36,63.7,Average,Not Placed
STU100018,22,Female,BSc Data Science,4,68.7,5.2,70.9,74.4,0,7.7,7.4,54.4,43.1,3,0,1,0,0,85.7,1,No,8.4,81.9,Excellent,Not Placed
STU100019,19,Male,BCA,4,79.9,5.5,91.1,71.0,0,10.0,9.0,71.0,64.9,2,0,3,0,1,99.6,2,No,8.87,88.6,Excellent,Placed
STU100020,21,Male,BSc Computer Science,4,87.6,3.9,73.0,63.9,1,5.6,8.6,89.1,71.3,3,0,2,1,0,78.5,2,No,7.07,71.5,Good,Not Placed
STU100021,23,Female,BSc Data Science,2,66.5,4.2,80.5,59.9,0,5.3,8.1,65.1,61.7,1,1,1,0,1,79.1,2,Yes,7.59,76.5,Good,Placed
STU100022,23,Female,BSc Data Science,4,95.5,3.0,78.9,64.3,0,7.7,9.6,48.1,64.7,4,1,0,2,2,100.0,1,Yes,7.3,74.3,Good,Not Placed
STU100023,19,Male,BCA,3,68.3,2.5,86.2,59.2,0,6.1,8.8,48.3,49.6,4,1,2,1,0,94.8,2,No,8.53,85.1,Excellent,Not Placed
STU100024,21,Male,BSc Data Science,4,94.3,4.4,67.0,66.0,1,5.7,6.2,83.6,53.0,2,2,2,1,1,78.4,3,Yes,8.32,85.5,Excellent,Not Placed
STU100025,22,Female,BBA,3,,2.8,94.1,64.0,1,9.3,7.9,63.1,64.0,2,0,0,0,4,100.0,1,No,8.25,80.9,Excellent,Placed
STU100026,18,Male,BSc Data Science,4,77.4,6.0,97.8,67.8,0,9.3,4.6,67.6,56.3,1,3,2,0,2,74.2,1,Yes,9.36,93.4,Excellent,Not Placed
STU100027,21,Male,BSc Computer Science,3,76.1,4.1,81.7,81.1,2,7.0,8.4,72.4,65.1,3,0,2,0,2,80.4,1,No,8.02,80.2,Excellent,Not Placed
STU100028,19,Female,BTech CSE,2,64.3,4.2,57.4,61.1,1,5.3,6.7,31.8,47.0,1,0,0,1,0,71.3,1,No,6.37,65.7,Good,Not Placed
STU100029,23,Female,BTech CSE,3,85.0,1.9,72.5,65.0,0,7.2,8.5,82.5,41.0,3,0,3,1,3,85.8,0,No,6.35,66.9,Good,Not Placed
STU100030,22,Male,BSc Data Science,2,85.5,0.5,85.5,73.4,1,8.3,7.2,93.3,61.1,1,1,2,0,1,80.2,1,Yes,7.41,71.7,Good,Placed
STU100031,21,Female,BSc Computer Science,4,84.2,4.2,86.1,60.2,0,8.9,8.4,62.3,83.2,1,3,5,1,2,89.4,3,Yes,7.4,77.7,Good,Placed
STU100032,18,Female,BTech CSE,3,75.5,2.8,79.2,81.1,0,8.5,7.0,66.3,39.4,4,2,1,0,2,83.5,2,Yes,8.2,82.4,Excellent,Not Placed
STU100033,18,Female,BCA,3,71.0,5.0,94.1,60.4,0,1.8,6.4,77.8,87.1,1,1,0,0,1,67.5,2,Yes,7.06,71.3,Good,Not Placed
STU100034,20,Female,BSc Data Science,4,89.0,2.1,75.7,73.6,1,7.4,7.3,61.4,88.4,0,1,0,1,2,66.9,3,Yes,7.42,73.6,Good,Not Placed
STU100035,20,Male,BCA,3,80.1,2.7,92.8,84.7,2,7.9,4.4,83.3,34.7,2,1,1,1,0,75.3,1,Yes,8.48,85.9,Excellent,Not Placed
STU100036,24,Male,BSc Data Science,3,70.4,5.2,82.0,60.2,0,8.2,6.6,75.2,85.1,2,0,6,1,4,81.8,3,Yes,8.16,84.1,Excellent,Placed
STU100037,19,Male,BSc Data Science,3,80.1,4.2,75.8,62.4,0,7.1,6.1,85.6,42.8,2,1,3,0,1,81.8,0,No,7.48,77.7,Good,Not Placed
STU100038,21,Female,BTech CSE,3,61.3,2.0,90.0,66.6,1,6.6,4.6,51.7,72.1,2,0,4,0,1,86.6,2,No,7.75,73.0,Good,Not Placed
STU100039,21,Male,BCA,4,79.1,3.6,81.5,72.2,0,6.0,5.7,73.0,89.9,2,1,1,1,1,66.2,1,Yes,7.55,77.0,Good,Not Placed
STU100040,24,Female,BSc Computer Science,4,84.6,6.4,91.8,70.4,2,5.1,4.7,73.8,71.0,3,2,1,0,1,77.9,1,Yes,7.8,78.3,Good,Not Placed
STU100041,23,Male,BSc Computer Science,4,76.2,3.7,100.0,71.8,2,5.4,4.3,77.9,73.6,4,2,4,2,0,77.2,2,Yes,8.32,83.4,Excellent,Not Placed
STU100042,23,Male,BSc Computer Science,2,85.1,3.3,71.7,78.1,0,9.0,5.9,66.2,77.9,7,2,3,1,2,100.0,1,Yes,7.8,76.1,Good,Placed
STU100043,24,Female,BTech CSE,3,86.1,4.8,91.7,69.8,0,7.8,7.6,55.1,100.0,4,1,0,0,1,93.6,2,Yes,9.9,98.3,Excellent,Placed
STU100044,23,Male,BSc Data Science,2,80.8,4.0,89.0,54.4,1,8.0,4.4,47.3,55.3,0,3,2,1,1,75.3,1,Yes,8.14,81.7,Excellent,Not Placed
STU100045,20,Male,BBA,4,95.7,5.7,100.0,87.3,0,5.5,6.7,60.4,84.9,1,0,2,0,3,71.4,3,Yes,9.29,94.6,Excellent,Placed
STU100046,21,Female,BSc Computer Science,2,91.5,4.6,92.1,77.2,1,7.5,7.1,59.1,44.7,2,2,0,0,2,86.6,1,Yes,8.68,84.3,Excellent,Not Placed
STU100047,24,Male,BSc Computer Science,2,84.3,4.9,99.3,56.7,3,9.8,6.6,62.1,45.6,3,2,2,1,2,100.0,2,Yes,8.31,83.8,Excellent,Placed
STU100048,21,Female,BTech CSE,3,81.6,5.7,71.2,69.8,1,6.7,8.1,65.4,70.8,2,1,4,0,2,94.3,0,Yes,8.58,86.8,Excellent,Placed
STU100049,18,Female,BCA,3,75.4,3.1,68.0,81.4,0,7.9,10.0,50.1,80.4,3,3,3,0,1,100.0,1,Yes,7.96,80.2,Excellent,Not Placed
STU100050,20,Male,BCA,4,71.5,2.6,71.7,61.1,1,5.6,9.4,53.6,74.8,1,2,0,0,1,81.1,4,Yes,5.71,58.5,Average,Not Placed
STU100051,22,Female,BTech CSE,3,86.0,1.5,80.3,83.1,1,5.8,5.8,61.6,58.6,2,0,2,0,0,84.2,0,Yes,6.93,70.1,Good,Not Placed
STU100052,20,Male,BSc Computer Science,3,76.0,3.2,97.2,60.4,0,7.0,5.3,73.6,58.9,0,0,3,0,2,76.3,1,Yes,7.62,76.5,Good,Not Placed
STU100053,24,Male,BTech CSE,3,67.9,1.5,99.7,77.2,0,5.2,,58.9,51.5,0,1,3,0,3,70.0,3,Yes,8.04,79.7,Good,Placed
STU100054,22,Male,BBA,4,70.0,4.0,78.0,41.3,1,5.2,7.6,73.5,69.9,1,1,3,0,1,76.9,2,No,6.98,69.7,Good,Not Placed
STU100055,18,Male,BSc Data Science,3,71.3,2.6,80.8,83.3,0,6.2,6.9,92.2,73.3,2,0,3,1,0,80.1,4,Yes,7.57,77.4,Good,Placed
STU100056,24,Female,BSc Data Science,3,95.5,4.9,69.1,49.4,1,6.9,6.9,67.6,83.0,2,1,3,2,7,84.9,2,Yes,8.39,83.7,Excellent,Not Placed
STU100057,19,Male,BSc Data Science,3,86.5,4.7,82.8,86.3,0,5.4,7.0,90.8,42.3,3,1,5,0,0,75.2,3,No,7.94,75.1,Good,Not Placed
STU100058,21,Female,BSc Data Science,2,78.3,2.9,79.8,58.0,1,6.8,6.9,84.7,100.0,3,1,2,1,2,73.4,1,Yes,7.69,77.9,Good,Placed
STU100059,18,Female,BTech CSE,4,82.1,5.0,79.9,94.6,0,4.5,7.2,75.5,47.0,1,0,2,1,0,62.4,1,No,8.61,86.8,Excellent,Not Placed
STU100060,21,Female,BTech CSE,2,83.3,3.7,95.0,73.2,1,6.8,8.3,61.3,49.4,3,2,1,2,0,87.9,3,Yes,9.08,87.5,Excellent,Placed
STU100061,23,Male,BSc Computer Science,4,69.3,0.8,86.5,84.2,3,3.1,7.4,64.7,62.5,3,2,1,1,0,80.9,4,Yes,6.45,67.2,Good,Not Placed
STU100062,19,Male,BCA,3,66.3,2.0,67.6,69.8,0,8.4,5.0,80.7,65.0,1,2,2,0,2,74.3,3,Yes,6.61,66.9,Good,Not Placed
STU100063,19,Female,BSc Data Science,4,88.5,2.4,53.9,53.7,0,3.7,8.3,68.9,74.9,1,1,4,1,2,75.8,1,Yes,7.1,71.8,Good,Not Placed
STU100064,18,Male,BSc Data Science,4,64.5,3.5,88.1,60.8,0,9.3,8.5,94.9,75.3,4,1,1,0,2,85.7,2,Yes,8.48,85.1,Excellent,Placed
STU100065,19,Male,BTech CSE,3,,2.9,84.6,77.6,0,7.3,6.6,63.5,75.4,2,1,4,0,0,90.2,2,No,8.26,82.0,Excellent,Placed
STU100066,22,Male,BCA,3,70.8,2.7,86.2,100.0,0,7.6,7.3,66.3,88.9,7,1,4,1,4,100.0,2,Yes,9.34,94.4,Excellent,Placed
STU100067,19,Male,BTech CSE,3,80.2,4.4,84.6,89.3,0,5.7,6.1,94.4,80.9,2,2,3,0,2,68.9,4,Yes,7.79,78.3,Good,Not Placed
STU100068,21,Female,BTech CSE,3,75.5,4.7,69.4,73.1,1,7.5,5.6,53.9,44.4,2,0,4,0,3,93.9,1,Yes,8.55,87.3,Excellent,Not Placed
STU100069,21,Male,BTech CSE,3,83.3,2.6,79.9,83.3,1,6.8,5.8,96.9,58.8,5,2,3,0,3,92.3,1,Yes,7.62,76.5,Good,Placed
STU100070,24,Male,BSc Data Science,3,54.9,2.2,78.6,74.6,1,4.4,5.9,37.6,55.3,4,1,2,2,2,88.1,4,No,6.47,64.7,Average,Not Placed
STU100071,21,Male,BTech CSE,4,89.2,5.4,81.1,69.2,0,7.9,9.1,56.1,62.0,0,1,0,1,1,80.0,5,No,8.02,80.0,Good,Placed
STU100072,24,Female,BSc Computer Science,2,85.4,7.6,91.7,72.7,0,5.0,6.7,52.2,85.3,2,1,2,0,2,85.5,1,Yes,8.98,86.9,Excellent,Placed
STU100073,21,Female,BTech CSE,4,88.1,2.1,75.6,65.2,1,10.0,5.5,44.6,77.2,0,0,3,2,2,76.2,1,No,7.77,77.8,Good,Not Placed
STU100074,22,Male,BSc Data Science,3,87.0,4.8,69.3,72.8,0,5.1,6.4,58.3,63.2,1,2,0,2,1,76.2,1,No,7.26,73.7,Good,Not Placed
STU100075,24,Female,BSc Computer Science,3,81.1,3.3,96.7,76.3,0,3.6,7.9,61.5,84.1,0,1,3,1,0,54.1,4,Yes,8.04,79.8,Good,Not Placed
STU100076,20,Female,BSc Computer Science,4,71.6,4.5,74.0,71.2,0,9.5,9.1,70.6,81.0,0,2,2,1,1,90.5,0,Yes,8.45,82.7,Excellent,Not Placed
STU100077,23,Female,BCA,3,82.4,2.1,94.7,66.3,1,7.9,7.7,38.9,43.0,3,2,2,3,0,91.6,0,No,7.86,78.2,Good,Not Placed
STU100078,18,Female,BSc Data Science,3,80.9,1.6,100.0,65.6,1,7.3,6.8,93.2,50.1,2,0,2,2,0,79.4,2,Yes,7.41,73.4,Good,Not Placed
STU100079,21,Male,BBA,4,86.8,1.8,98.6,68.7,1,5.5,9.6,60.1,71.5,2,1,1,1,0,79.6,0,No,7.27,73.6,Good,Not Placed
STU100080,19,Male,BCA,4,,2.7,89.3,73.3,1,6.6,6.4,70.9,62.8,2,1,2,0,4,69.8,4,Yes,8.75,85.1,Excellent,Not Placed
STU100081,21,Male,BSc Data Science,2,78.9,3.1,79.8,66.1,1,6.2,6.3,59.4,77.3,1,4,1,0,0,65.1,4,Yes,7.14,72.9,Good,Not Placed
STU100082,19,Male,BSc Data Science,3,82.3,4.9,92.0,78.3,1,8.1,5.0,68.1,58.5,2,1,3,1,3,82.4,0,Yes,9.29,92.5,Excellent,Placed
STU100083,23,Other,BSc Computer Science,3,83.2,2.2,81.7,52.4,0,5.4,5.8,71.7,78.2,2,0,0,2,0,74.1,3,No,6.78,66.4,Good,Not Placed
STU100084,23,Male,BCA,2,88.9,2.5,97.6,74.5,0,5.6,,77.5,64.9,2,0,3,2,3,79.5,3,Yes,7.11,70.9,Good,Not Placed
STU100085,23,Male,BSc Computer Science,2,95.4,6.6,89.0,83.6,1,7.8,4.7,43.4,74.5,3,0,3,1,1,83.7,3,Yes,10.0,98.7,Excellent,Not Placed
STU100086,19,Female,BCA,3,84.0,3.6,86.2,93.2,1,8.9,6.7,93.2,71.3,2,1,2,2,1,91.4,2,No,9.23,91.9,Excellent,Not Placed
STU100087,21,Female,BCA,3,83.3,3.9,82.5,71.1,0,5.8,6.0,32.7,60.5,6,0,2,0,0,72.9,4,No,7.76,75.3,Good,Not Placed
STU100088,23,Male,BTech CSE,4,75.8,4.6,76.6,79.8,1,7.7,8.7,71.4,92.3,1,2,2,0,1,78.3,1,No,8.28,81.1,Excellent,Not Placed
STU100089,22,Male,BSc Data Science,4,74.6,2.7,82.0,74.5,0,8.4,7.3,72.0,60.7,3,1,5,2,2,100.0,0,Yes,7.99,79.2,Good,Placed
STU100090,24,Male,BBA,3,70.7,3.5,85.2,84.2,0,4.8,7.9,58.0,100.0,2,0,1,0,1,76.7,3,Yes,8.93,89.0,Excellent,Not Placed
STU100091,19,Female,BCA,2,46.0,3.0,79.2,69.0,0,6.0,7.6,66.4,35.9,1,2,1,1,0,86.9,4,No,7.5,72.1,Good,Not Placed
STU100092,19,Male,BSc Data Science,3,69.6,3.4,85.3,77.9,0,3.4,5.1,70.7,47.7,0,0,1,0,2,58.1,1,Yes,7.56,76.7,Good,Not Placed
STU100093,21,Male,BCA,3,76.3,4.8,92.8,45.9,0,10.0,6.5,55.8,68.8,0,2,2,0,0,96.3,1,Yes,7.85,77.2,Good,Placed
STU100094,19,Male,BSc Data Science,3,74.9,4.5,85.1,83.8,0,6.9,7.5,30.1,40.4,0,1,3,0,2,73.1,2,Yes,7.64,76.4,Good,Not Placed
STU100095,19,Male,BBA,2,82.6,0.5,76.1,73.4,0,8.1,4.0,61.3,56.5,2,0,0,1,0,59.7,1,Yes,7.88,78.4,Good,Not Placed
STU100096,23,Female,BTech CSE,3,70.0,5.0,51.7,63.6,0,5.8,4.0,94.3,78.4,6,2,3,0,3,100.0,2,Yes,6.5,65.7,Good,Placed
STU100097,21,Male,BCA,4,70.4,3.0,95.4,75.2,0,5.6,7.1,53.2,62.1,2,1,2,0,0,82.0,0,No,7.27,72.7,Good,Not Placed
STU100098,23,Male,BSc Computer Science,4,56.9,4.1,80.8,88.9,0,6.3,6.4,60.2,76.8,1,0,2,1,1,81.6,3,Yes,8.34,84.4,Excellent,Placed
STU100099,24,Female,BSc Computer Science,4,82.7,2.9,84.2,60.4,0,6.2,1.2,61.1,87.7,3,1,1,0,1,53.7,0,Yes,6.94,68.9,Good,Not Placed
STU100100,24,Female,BCA,3,69.1,3.4,88.0,61.2,1,10.0,3.9,61.0,73.0,0,0,2,0,4,80.9,2,Yes,7.89,78.5,Good,Not Placed
STU100101,23,Male,BCA,2,70.8,5.5,,52.4,1,7.2,5.2,46.5,48.7,3,0,2,1,0,78.4,2,Yes,8.28,80.9,Excellent,Not Placed
STU100102,24,Female,BBA,2,83.6,4.0,90.3,61.2,0,7.7,7.6,79.6,62.9,0,2,0,3,3,87.5,4,No,8.34,83.6,Excellent,Placed
STU100103,21,Female,BBA,4,69.2,5.4,93.1,60.5,0,6.5,,72.4,64.1,2,0,1,0,2,90.0,4,Yes,8.41,83.8,Excellent,Not Placed
STU100104,18,Female,BBA,3,81.8,3.4,90.3,69.6,0,6.6,8.6,63.6,67.3,3,0,1,3,1,93.2,2,Yes,7.85,79.9,Good,Placed
STU100105,23,Male,BTech CSE,3,65.9,3.3,47.7,72.5,0,7.7,5.6,51.3,58.3,3,0,4,1,3,88.4,2,Yes,7.69,77.7,Good,Not Placed
STU100106,22,Female,BTech CSE,2,77.8,3.5,86.3,55.1,1,6.4,5.9,58.5,66.6,3,0,4,1,1,77.1,5,Yes,6.63,65.8,Good,Not Placed
STU100107,22,Male,BSc Data Science,3,71.9,1.6,84.8,75.7,0,9.0,10.0,74.7,79.2,1,1,3,2,1,94.9,1,Yes,7.51,75.4,Good,Placed
STU100108,19,Male,BCA,2,75.3,0.5,79.2,75.0,0,5.0,8.2,73.3,24.6,1,0,0,0,2,65.9,3,Yes,7.63,76.5,Good,Not Placed
STU100109,24,Male,BCA,2,93.1,2.3,87.3,74.7,1,8.7,8.5,66.8,74.7,3,0,1,0,1,99.1,1,Yes,7.38,72.7,Good,Placed
STU100110,22,Male,BTech CSE,3,61.6,5.0,82.2,61.4,0,8.6,5.6,75.2,54.1,3,0,2,0,1,93.9,2,Yes,7.88,81.1,Excellent,Placed
STU100111,19,Female,BTech CSE,3,92.2,5.6,75.8,95.0,0,10.0,6.4,96.5,34.9,1,0,3,1,0,99.6,1,Yes,8.84,88.5,Excellent,Not Placed
STU100112,18,Male,BTech CSE,2,68.8,0.5,95.6,79.6,1,3.4,6.8,83.4,38.2,3,0,0,0,3,67.6,3,Yes,6.98,68.6,Good,Not Placed
STU100113,21,Male,BBA,2,86.7,5.4,85.8,55.9,0,8.4,6.4,49.9,71.6,3,0,0,0,0,95.4,0,Yes,8.26,85.4,Excellent,Not Placed
STU100114,21,Female,BTech CSE,4,88.7,2.6,83.9,52.8,1,5.3,7.1,91.7,60.5,2,0,0,0,2,82.5,3,Yes,7.14,73.2,Good,Not Placed
STU100115,21,Male,BBA,3,82.3,1.4,59.1,62.3,2,8.1,7.1,64.5,89.4,2,1,2,1,1,85.1,3,Yes,6.48,62.8,Average,Not Placed
STU100116,22,Male,BCA,3,65.8,5.1,100.0,73.1,0,8.1,6.5,78.5,87.6,0,0,3,1,2,73.9,2,No,8.19,84.2,Excellent,Not Placed
STU100117,18,Male,BTech CSE,3,80.7,2.7,61.5,89.3,1,5.0,6.4,63.9,46.0,1,0,1,0,5,66.7,1,No,7.03,68.4,Good,Not Placed
STU100118,22,Male,BSc Computer Science,4,100.0,7.4,87.8,63.9,1,7.8,9.0,43.3,63.7,0,1,1,0,1,74.8,1,Yes,9.67,97.6,Excellent,Not Placed
STU100119,24,Male,BCA,2,78.1,2.5,89.8,53.4,0,5.9,5.4,71.2,87.4,2,0,2,0,3,64.4,1,No,7.34,73.8,Good,Not Placed
STU100120,22,Female,BBA,2,77.0,3.1,100.0,75.4,1,5.3,6.1,86.9,51.3,2,1,3,1,1,76.3,2,Yes,8.23,79.1,Good,Not Placed
STU100121,18,Male,BTech CSE,3,76.0,2.0,71.4,66.3,0,3.1,4.5,53.9,93.1,1,0,5,2,1,68.9,3,No,7.18,69.9,Good,Not Placed
STU100122,18,Male,BCA,2,83.2,3.7,73.1,73.3,1,9.0,,62.0,63.2,2,1,3,1,1,83.4,1,No,8.95,86.0,Excellent,Placed
STU100123,24,Female,BCA,3,77.1,4.7,90.8,70.0,1,6.3,6.0,96.6,70.8,5,0,3,0,0,84.1,6,Yes,8.41,82.7,Excellent,Placed
STU100124,18,Female,BTech CSE,3,80.8,0.9,89.2,68.7,1,4.6,7.0,86.0,66.1,1,0,4,1,1,87.3,3,No,6.45,63.9,Average,Placed
STU100125,18,Male,BSc Computer Science,4,75.1,4.5,100.0,84.3,0,7.1,8.1,80.5,68.2,2,0,2,0,2,81.8,1,Yes,8.29,80.8,Excellent,Placed
STU100126,21,Female,BBA,4,67.6,2.9,94.0,79.1,0,6.7,8.2,77.5,78.0,4,0,1,0,3,84.7,5,Yes,7.97,77.5,Good,Not Placed
STU100127,24,Male,BCA,4,100.0,2.2,78.3,74.6,0,4.8,9.0,72.1,51.4,1,0,2,1,1,87.2,1,No,7.12,74.8,Good,Not Placed
STU100128,20,Male,BCA,2,77.0,1.4,80.8,46.1,1,4.9,5.2,55.7,67.5,5,3,2,1,2,63.1,1,No,5.45,56.3,Average,Not Placed
STU100129,20,Male,BCA,4,100.0,5.0,87.8,68.9,1,8.5,5.4,60.7,67.2,2,2,0,0,2,83.0,3,No,8.97,90.4,Excellent,Placed
STU100130,18,Male,BCA,2,82.2,3.9,65.2,82.4,0,6.9,5.1,86.5,69.7,2,2,2,0,0,64.1,4,No,7.23,74.1,Good,Placed
STU100131,20,Female,BCA,3,84.0,2.6,88.2,60.3,0,5.3,9.7,65.7,83.5,1,1,3,0,1,75.5,1,Yes,7.0,69.2,Good,Not Placed
STU100132,20,Male,BBA,4,74.9,4.7,89.0,69.2,1,5.8,7.7,43.1,65.1,7,0,1,0,1,90.0,5,Yes,7.18,72.7,Good,Not Placed
STU100133,18,Female,BSc Data Science,2,72.1,4.3,73.1,71.3,0,5.8,8.2,69.4,72.3,0,1,2,1,1,74.7,4,Yes,8.1,79.2,Good,Placed
STU100134,20,Male,BSc Data Science,3,75.1,4.8,79.7,74.7,0,3.5,5.0,40.5,91.5,1,1,3,1,1,59.4,1,Yes,7.86,79.2,Good,Not Placed
STU100135,22,Female,BCA,2,69.7,6.0,60.2,67.1,1,8.2,6.8,58.1,77.6,3,2,1,0,3,90.9,1,No,7.79,76.3,Good,Not Placed
STU100136,19,Female,BCA,3,68.8,3.8,92.2,77.0,0,5.8,7.7,43.6,66.2,0,1,1,4,0,80.7,1,Yes,8.55,86.0,Excellent,Not Placed
STU100137,24,Female,BTech CSE,4,95.8,6.4,86.6,76.6,1,6.2,4.5,67.9,58.3,2,0,1,2,0,75.9,1,Yes,9.42,92.5,Excellent,Not Placed
STU100138,19,Male,BSc Computer Science,2,86.0,5.6,67.6,61.0,0,7.5,6.0,71.5,85.7,2,2,2,1,3,72.0,0,Yes,7.71,80.6,Excellent,Not Placed
STU100139,18,Female,BTech CSE,2,93.0,4.7,70.3,62.5,1,8.7,7.5,88.7,46.0,1,0,1,1,0,77.0,0,Yes,7.83,80.1,Excellent,Not Placed
STU100140,21,Male,BSc Data Science,3,89.2,1.0,77.2,74.0,0,6.9,3.3,76.1,73.1,1,0,2,0,3,66.0,5,Yes,8.25,83.0,Excellent,Not Placed
STU100141,24,Female,BSc Data Science,4,72.0,3.7,91.3,89.5,0,4.5,9.2,61.2,68.0,6,1,2,0,1,79.7,1,No,8.17,80.9,Excellent,Placed
STU100142,18,Female,BSc Computer Science,2,62.6,3.9,87.5,84.0,0,6.1,7.9,55.2,71.6,2,0,1,1,1,73.0,2,Yes,8.54,84.0,Excellent,Not Placed
STU100143,21,Female,BSc Data Science,3,73.4,3.8,73.0,65.2,1,6.4,5.0,74.3,79.6,5,1,5,1,2,87.5,1,Yes,7.59,76.0,Good,Not Placed
STU100144,19,Male,BTech CSE,4,78.9,3.3,75.5,62.3,0,3.2,6.7,44.3,56.9,1,2,3,1,1,68.8,3,Yes,7.97,75.6,Good,Not Placed
STU100145,18,Male,BSc Data Science,2,89.4,4.5,82.6,67.4,1,7.4,7.6,89.2,52.4,7,1,5,0,1,100.0,1,Yes,7.95,80.7,Excellent,Placed
STU100146,24,Male,BSc Computer Science,3,77.5,4.7,73.2,90.4,1,7.7,7.0,74.0,43.9,2,0,0,0,1,73.5,2,Yes,8.47,86.3,Excellent,Placed
STU100147,24,Male,BCA,4,100.0,1.0,76.3,71.8,0,6.7,6.7,51.6,65.8,2,2,3,0,0,85.2,2,Yes,7.44,73.9,Good,Not Placed
STU100148,23,Female,BTech CSE,3,73.7,5.5,89.6,74.2,0,5.0,6.6,56.6,81.4,2,2,0,0,4,79.2,2,Yes,7.03,72.8,Good,Not Placed
STU100149,22,Female,BBA,4,83.9,1.3,68.5,62.1,2,6.9,8.0,60.6,53.0,2,1,2,1,1,91.0,4,No,6.11,63.0,Average,Not Placed
STU100150,20,Female,BSc Computer Science,2,72.0,2.9,80.4,72.3,0,8.3,8.1,66.7,38.5,1,0,1,0,5,81.6,2,Yes,7.61,77.3,Good,Not Placed
STU100151,21,Male,BSc Computer Science,4,82.1,2.2,79.6,53.8,0,6.1,7.9,72.2,52.3,1,0,0,0,2,77.3,3,Yes,6.64,66.0,Good,Not Placed
STU100152,23,Female,BBA,4,76.7,2.4,81.5,55.4,0,7.9,7.9,64.2,72.9,2,0,0,0,1,80.4,1,No,8.34,81.2,Excellent,Not Placed
STU100153,20,Female,BSc Computer Science,2,75.5,5.1,84.9,73.0,0,7.3,7.6,72.6,64.9,3,1,0,2,0,73.1,0,No,7.5,77.2,Good,Not Placed
STU100154,20,Female,BCA,2,71.8,3.7,88.8,74.8,1,3.1,7.7,61.4,74.0,3,1,3,1,0,80.5,1,No,6.79,67.9,Good,Placed
